year,avg_sst
1900,19.243366
1901,19.22994
1902,19.036846
1903,18.85293
1904,18.707611
1905,18.806051
1906,19.041206
1907,18.825712
1908,18.964165
1909,18.889578
1910,18.927862
1911,18.961454
1912,18.825907
1913,18.853086
1914,18.929113
1915,19.345268
1916,19.152409
1917,19.061651
1918,18.941463
1919,19.079247
1920,18.980999
1921,19.14882
1922,18.919107
1923,18.935202
1924,19.095621
1925,19.084415
1926,19.328182
1927,19.3841
1928,19.24218
1929,19.146923
1930,19.281551
1931,19.46645
1932,19.54325
1933,19.539185
1934,19.384312
1935,19.345327
1936,19.43893
1937,19.64747
1938,19.470083
1939,19.426325
1940,19.63854
1941,19.6507
1942,19.577608
1943,19.444614
1944,19.711124
1945,19.760813
1946,19.307878
1947,19.208216
1948,19.309258
1949,19.440075
1950,19.313171
1951,19.532518
1952,19.595903
1953,19.585083
1954,19.349522
1955,19.523233
1956,19.279596
1957,19.37155
1958,19.529997
1959,19.416426
1960,19.542868
1961,19.556568
1962,19.446148
1963,19.377964
1964,19.286245
1965,19.223162
1966,19.403841
1967,19.314651
1968,19.24826
1969,19.367126
1970,19.28334
1971,19.156424
1972,19.037354
1973,19.298626
1974,19.018595
1975,19.258535
1976,19.159689
1977,19.314562
1978,19.30894
1979,19.407574
1980,19.463911
1981,19.472458
1982,19.293777
1983,19.46578
1984,19.32122
1985,19.222084
1986,19.177961
1987,19.58043
1988,19.571093
1989,19.519697
1990,19.544006
1991,19.356966
1992,19.270693
1993,19.291569
1994,19.352201
1995,19.687643
1996,19.466082
1997,19.659283
1998,19.923553
1999,19.784847
2000,19.675745
2001,19.796083
2002,19.71432
2003,19.912586
2004,19.877344
2005,20.024094
2006,20.0409
2007,19.9154
2008,19.948624
2009,19.768778
2010,20.106218
2011,19.873991
2012,20.024982
2013,19.937805
2014,19.919203
2015,19.893408
2016,20.118652
2017,20.173306
2018,19.920689
2019,20.045038
2020,20.21021
2021,20.170801
2022,20.220484
2023,20.56656
2024,20.662138
2025,20.31135
