year,avg_sst
1900,19.522306
1901,19.454817
1902,19.3807
1903,19.009758
1904,19.393349
1905,19.452137
1906,19.368565
1907,19.25216
1908,19.357826
1909,19.522484
1910,19.441101
1911,19.544147
1912,19.326729
1913,19.05259
1914,19.360605
1915,19.334112
1916,19.37579
1917,19.342495
1918,19.456274
1919,19.616762
1920,19.677237
1921,19.415455
1922,19.481928
1923,19.41772
1924,19.412094
1925,19.480143
1926,19.27124
1927,19.298523
1928,19.39947
1929,19.383804
1930,19.341509
1931,19.324572
1932,19.45301
1933,19.539932
1934,19.581934
1935,19.419285
1936,19.515738
1937,19.335232
1938,19.385256
1939,19.335674
1940,19.409369
1941,19.312796
1942,19.292522
1943,19.33846
1944,19.365303
1945,19.222166
1946,19.379915
1947,19.281294
1948,19.20819
1949,19.25519
1950,19.316462
1951,19.18161
1952,19.166515
1953,19.461336
1954,19.493383
1955,19.589647
1956,19.416681
1957,19.389746
1958,19.551487
1959,19.681622
1960,19.41246
1961,19.331682
1962,19.401028
1963,19.23782
1964,19.077412
1965,18.988354
1966,19.19489
1967,19.281397
1968,19.283604
1969,19.41087
1970,19.200071
1971,19.131788
1972,19.322023
1973,19.193577
1974,19.075157
1975,19.361008
1976,19.164059
1977,19.271408
1978,19.382013
1979,19.17364
1980,19.041277
1981,19.193474
1982,19.353188
1983,19.124437
1984,19.184607
1985,19.278399
1986,19.25323
1987,19.33308
1988,19.178837
1989,19.244207
1990,19.467636
1991,19.414965
1992,19.162514
1993,19.169655
1994,19.313898
1995,19.426031
1996,19.445135
1997,19.381832
1998,19.398668
1999,19.47368
2000,19.464788
2001,19.694807
2002,19.642847
2003,19.466019
2004,19.61422
2005,19.656414
2006,19.557491
2007,19.389994
2008,19.736328
2009,19.668367
2010,19.620108
2011,19.595812
2012,19.802746
2013,20.000395
2014,19.983006
