country,year,iso_code,population,co2,cumulative_co2,co2_per_capita
United States,1850,USA,23000000,20,300,0.87
United States,1900,USA,76000000,660,15000,8.68
United States,1950,USA,152000000,2300,90000,15.13
United States,1980,USA,227000000,4700,200000,20.70
United States,2000,USA,282000000,5800,320000,20.57
United States,2023,USA,335000000,4900,430000,14.63
China,1850,CHN,430000000,0,50,0.00
China,1900,CHN,400000000,10,1000,0.03
China,1950,CHN,544000000,80,8000,0.15
China,1980,CHN,981000000,1490,40000,1.52
China,2000,CHN,1263000000,3500,95000,2.77
China,2023,CHN,1410000000,11900,280000,8.44
United Kingdom,1850,GBR,27000000,120,6000,4.44
United Kingdom,1900,GBR,38000000,420,22000,11.05
United Kingdom,1950,GBR,50000000,590,45000,11.80
United Kingdom,1980,GBR,56000000,610,60000,10.89
United Kingdom,2000,GBR,59000000,550,70000,9.32
United Kingdom,2023,GBR,68000000,320,78000,4.71
Germany,1850,DEU,34000000,25,1000,0.74
Germany,1900,DEU,56000000,300,12000,5.36
Germany,1950,DEU,69000000,480,35000,6.96
Germany,1980,DEU,78000000,1090,70000,13.97
Germany,2000,DEU,82000000,900,85000,10.98
Germany,2023,DEU,84000000,600,95000,7.14
Russia,1850,RUS,60000000,0,100,0.00
Russia,1900,RUS,130000000,50,3000,0.38
Russia,1950,RUS,180000000,480,25000,2.67
Russia,1980,RUS,250000000,2000,70000,8.00
Russia,2000,RUS,146000000,1500,100000,10.27
Russia,2023,RUS,144000000,1800,120000,12.50
India,1850,IND,230000000,1,20,0.00
India,1900,IND,238000000,8,400,0.03
India,1950,IND,357000000,80,3000,0.22
India,1980,IND,697000000,300,12000,0.43
India,2000,IND,1059000000,900,28000,0.85
India,2023,IND,1430000000,3000,60000,2.10
Japan,1850,JPN,32000000,0,10,0.00
Japan,1900,JPN,44000000,30,600,0.68
Japan,1950,JPN,84000000,110,5000,1.31
Japan,1980,JPN,117000000,920,25000,7.86
Japan,2000,JPN,127000000,1200,45000,9.45
Japan,2023,JPN,124000000,1000,65000,8.06
France,1850,FRA,36000000,20,800,0.56
France,1900,FRA,41000000,130,6000,3.17
France,1950,FRA,42000000,210,16000,5.00
France,1980,FRA,54000000,480,30000,8.89
France,2000,FRA,61000000,400,38000,6.56
France,2023,FRA,68000000,280,42000,4.12
Qatar,1850,QAT,20000,0,0,0.00
Qatar,1900,QAT,30000,0,0,0.00
Qatar,1950,QAT,25000,1,50,0.40
Qatar,1980,QAT,230000,30,1000,13.04
Qatar,2000,QAT,600000,55,4000,30.50
Qatar,2023,QAT,2700000,130,12000,35.10
