year,projected_sst
2015,21.30076
2016,21.324188
2017,21.373804
2018,21.30739
2019,21.37594
2020,21.260908
2021,21.474276
2022,21.351053
2023,21.447863
2024,21.262651
2025,21.62308
2026,21.592964
2027,21.555605
2028,21.557566
2029,21.37006
2030,21.409664
2031,21.644314
2032,21.604046
2033,21.571115
2034,21.608446
2035,21.663382
2036,21.685322
2037,21.80956
2038,21.74535
2039,21.76571
2040,21.714813
2041,21.650768
2042,21.746452
2043,21.733105
2044,21.893606
2045,22.077213
2046,21.890347
2047,21.99646
2048,22.064762
2049,22.323477
2050,22.115585
2051,22.091696
2052,22.211046
2053,22.319254
2054,22.417002
2055,22.312284
2056,22.437078
2057,22.616814
2058,22.185968
2059,22.375473
2060,22.710442
2061,22.658613
2062,22.440746
2063,22.36735
2064,22.296295
2065,22.616196
2066,22.748592
2067,22.38738
2068,22.61725
2069,22.729282
2070,22.900127
2071,22.675228
2072,22.8942
2073,23.007048
2074,22.93835
2075,23.100012
2076,23.155092
2077,23.318241
2078,23.072783
2079,23.415531
2080,23.638891
2081,23.802359
2082,23.484913
2083,23.44333
2084,23.770805
2085,23.66239
2086,23.401163
2087,23.79943
2088,23.757483
2089,23.892218
2090,23.598463
2091,24.039167
2092,24.060167
2093,24.212118
2094,24.186543
2095,24.269733
2096,24.46804
2097,24.376469
2098,24.486776
2099,24.358025
2100,24.721964
